wos_org,std_name,city,state,id
University of Louisville,University of Louisville,Louisville,KY,95207
University of Maine Augusta,University of Maine,Augusta,ME,95208
University of Maine Farmington,University of Maine,Farmington,ME,95208
University of Maine Fort Kent,University of Maine,Ft Kent,ME,95208
University of Maine Machias,University of Maine,Machias,ME,95208
University of Maine Orono,University of Maine,Orono,ME,95208
University of Maine Presque Isle,University of Maine,Presque Isle,ME,95208
University of Maine School of Law,University of Maine,Orono,ME,95208
University of Maine System,University of Maine,Orono,ME,95208
University of Maryland Baltimore,University of Maryland Baltimore,Baltimore,MD,95210
University of Maryland Baltimore County,University of Maryland Baltimore County,Baltimore,MD,95211
University of Maryland Center for Environmental Science,,Cambridge,MD,
University of Maryland College Park,University of Maryland College Park,College Pk,MD,95212
University of Maryland Eastern Shore,,Princess Anne,MD,
University of Maryland University College,,Adelphi,MD,
University of Massachusetts Amherst,University of Massachusetts Amherst,Amherst,MA,95214
University of Massachusetts Boston,University of Massachusetts Boston,Boston,MA,20100274
University of Massachusetts Lowell,University of Massachusetts,Lowell,MA,95213
University of Massachusetts System,University of Massachusetts,Amherst,MA,95213
University of Massachusetts Worcester,University of Massachusetts,Worcester,MA,95213
University of Memphis,University of Memphis,Memphis,TN,20100276
University of Miami,University of Miami,Miami,FL,95217
University of Michigan,University of Michigan,Ann Arbor,MI,95218
University of Michigan Dearborn,University of Michigan,Dearborn,MI,95218
University of Michigan Flint,University of Michigan,Flint,MI,95218
University of Michigan System,University of Michigan,Ann Arbor,MI,95218
University of Minnesota Duluth,University of Minnesota,Duluth,MN,95219
University of Minnesota Hospital,University of Minnesota,Minneapolis,MN,95219
University of Minnesota Morris,University of Minnesota,Morris,MN,95219
University of Minnesota Rochester,University of Minnesota,Rochester,MN,95219
University of Minnesota System,University of Minnesota,Minneapolis,MN,95219
University of Minnesota Twin Cities,University of Minnesota,Minneapolis,MN,95219
University of Mississippi,University of Mississippi,University,MS,95220
University of Mississippi Medical Center,University of Mississippi,Jackson,MS,95220
University of Missouri Columbia,University of Missouri,Columbia,MO,95221
University of Missouri Kansas City,University of Missouri,Kansas City,MO,95221
University of Missouri Saint Louis,University of Missouri,St Louis,MO,95221
University of Missouri System,University of Missouri,Columbia,MO,95221
University of Montana,University of Montana,Dillan,MT,95222
University of Montana System,University of Montana,Dillan,MT,95222
University of Montana Western,University of Montana,Dillan,MT,95222
University of Mount Union,,Alliance,OH,
University of Nebraska Lincoln,University of Nebraska Lincoln,Lincoln,NE,95224
University of Nebraska Medical Center,University of Nebraska Medical,Omaha,NE,95223
University of Nebraska Omaha,University of Nebraska,Omaha,NE,96042
University of Nebraska System,University of Nebraska,Omaha,NE,96042
University of Nevada Las Vegas,University of Nevada Las Vegas,Las Vegas,NV,95226
University of Nevada Reno,University of Nevada Reno,Reno,NV,95225
University of New England - Maine,,Biddeford,ME,
University of New Hampshire,University of New Hampshire,Durham,NH,95227
University of New Mexico,University of New Mexico,Albuquerque,NM,95228
University of New Orleans,University of New Orleans,New Orleans,LA,95229
University of North Carolina,,Chapel Hill,NC,
University of North Carolina - Asheville,,Asheville,NC,
University of North Carolina Chapel Hill,University of North Carolina Chapel Hill,Chapel Hill,NC,95230
University of North Carolina Charlotte,University of North Carolina Charlotte,Charlotte,NC,95231
University of North Carolina Greensboro,University of North Carolina Greensboro,Greensboro,NC,96031
University of North Carolina School of Medicine,,Chapel Hill,NC,
University of North Carolina Wilmington,University of North Carolina Wilmington,Wilmington,NC,20160313
University of North Dakota Grand Forks,University of North Dakota,Grand Forks,ND,95232
University of North Florida,University of North Florida,Jacksonville,FL,20070263
University of North Texas Denton,University of North Texas Denton,Denton,TX,96032
University of North Texas Health Science Center,University of North Texas,Ft Worth,TX,95233
University of North Texas System,University of North Texas,Denton,TX,95233
University of Northern Colorado,,Greeley,CO,
University of Northern Iowa,University of Northern Iowa,Cedar Falls,IA,95234
University of Northwestern Ohio,,ROOTSTOWN,OH,
University of Notre Dame,University of Notre Dame,Notre Dame,IN,96033
University of Oklahoma - Norman,University of Oklahoma,Norman,OK,99014
University of Oklahoma - Oklahoma City,University of Oklahoma,Oklahoma City,OK,99014
University of Oklahoma - Tulsa,University of Oklahoma,Tulsa,OK,99014
University of Oklahoma Health Sciences Center,University of Oklahoma Health Sciences,Oklahoma City,OK,95235
University of Oklahoma System,University of Oklahoma,Norman,OK,99014
University of Oregon,University of Oregon,Eugene,OR,95236
University of Pennsylvania,University of Pennsylvania,Philadelphia,PA,95237
University of Pittsburgh,University of Pittsburgh,Pittsburgh,PA,95238
University of Portland,,Portland,OR,
University of Puerto Rico,,San Juan,PR,
University of Puerto Rico Humacao,,Humacao,PR,
University of Puerto Rico Mayaguez,,Mayaguez,PR,
University of Puerto Rico Medical Sciences Campus,,San Juan,PR,
University of Puerto Rico Rio Piedras,,Rio Piedras,PR,
University of Puerto Rico at Aguadilla,,Aguada,PR,
University of Puerto Rico at Arecibo,,Arecibo,PR,
University of Puerto Rico at Carolina,,Carolina,PR,
University of Puerto Rico at Cayey,,Cayey,PR,
University of Puerto Rico at Ponce,,Ponce,PR,
University of Puerto Rico at Utuado,,Utuado,PR,
University of Rhode Island,University of Rhode Island,Narragansett,RI,95239
University of Richmond,,Richmond,VA,
University of Rio Grande,,Rio Grande,OH,
University of Rochester,University of Rochester,Rochester,NY,95240
University of Saint Thomas,,Houston,TX,
University of San Diego,,San Diego,CA,
University of San Francisco,,San Francisco,CA,
University of Sarasota,,SARASOTA,FL,
University of Scranton,,Scranton,PA,
University of South Alabama,University of South Alabama,Mobile,AL,95241
University of South Carolina,University of South Carolina,Columbia,SC,95242
University of South Carolina Aiken,University of South Carolina,Aiken,SC,95242
University of South Carolina Beaufort,University of South Carolina,Beaufort,SC,95242
University of South Carolina Columbia,University of South Carolina,Columbia,SC,95242
University of South Carolina Lancaster,University of South Carolina,Lancaster,SC,95242
University of South Carolina Salkehatchie,University of South Carolina,Walterboro,SC,95242
University of South Carolina Sumter,University of South Carolina,SUMTER,SC,95242
University of South Carolina System,University of South Carolina,Columbia,SC,95242
University of South Carolina Union,University of South Carolina,Union,SC,95242
University of South Carolina Upstate,University of South Carolina,Spartanburg,SC,95242
University of South Dakota,University of South Dakota,Vermillion,SD,20000253
University of South Florida,University of South Florida,St Petersburg,FL,95243
University of Southern California,University of Southern California,Los Angeles,CA,95244
University of Southern Maine,,Portland,ME,
University of Southern Mississippi,University of Southern Mississippi,Long Beach,MS,20160308
University of St Thomas Minnesota,,St Paul,MN,
University of Tampa,,Tampa,FL,
University of Tennessee Health Science Center,University of Tennessee,Memphis,TN,95245
University of Tennessee Knoxville,University of Tennessee,Knoxville,TN,95245
University of Tennessee Martin,University of Tennessee,Martin,TN,95245
University of Tennessee Medical Center,University of Tennessee,Knoxville,TN,95245
University of Tennessee Space Institute,University of Tennessee,Tullahoma,TN,95245
University of Tennessee System,University of Tennessee,Memphis,TN,95245
University of Tennessee at Chattanooga,University of Tennessee,Chattanooga,TN,95245
University of Texas Arlington,University of Texas Arlington,Arlington,TX,95247
University of Texas Austin,University of Texas Austin,Austin,TX,95248
University of Texas Dallas,University of Texas Dallas,Dallas,TX,96036
University of Texas El Paso,University of Texas,El Paso,TX,20100281
University of Texas Health San Antonio,University of Texas Health San Antonio,San Antonio,TX,95246
University of Texas Health Science Center Houston,University of Texas Health Science Center Houston,Houston,TX,95249
University of Texas Medical Branch Galveston,University of Texas Medical,Galveston,TX,95251
University of Texas Rio Grande Valley,University of Texas,Edinburg,TX,20100281
University of Texas School Public Health,University of Texas,Houston,TX,20100281
University of Texas Southwestern Medical Center Dallas,University of Texas Southwestern,Dallas,TX,95252
University of Texas System,University of Texas,Houston,TX,20100281
University of Texas at San Antonio (UTSA),University of Texas at San Antonio,San Antonio,TX,97021
University of Texas at Tyler,University of Texas,Tyler,TX,20100281
University of Toledo,University of Toledo,Toledo,OH,95253
University of Toledo Health Science Campus,University of Toledo,Toledo,OH,95253
University of Tulsa,University of Tulsa,Tulsa,OK,95255
University of Utah,University of Utah,Salt Lake City,UT,95256
University of Utah Hospital,University of Utah,Salt Lake City,UT,95256
University of Vermont,University of Vermont,Burlington,VT,95257
University of Vermont Medical Center,University of Vermont,Burlington,VT,95257
University of Virginia,University of Virginia,Charlottesville,VA,95259
University of Washington,University of Washington,Seattle,WA,95260
University of Washington Bothell,University of Washington,Bothell,WA,95260
University of Washington Seattle,University of Washington,Seattle,WA,95260
University of Washington Tacoma,University of Washington,Tacoma,WA,95260
University of West Florida,University of West Florida,Pensacola,FL,99020
University of West Georgia,,Carrollton,GA,
University of Wisconsin Eau Claire,,Eau Claire,WI,
University of Wisconsin Green Bay,,Green Bay,WI,
University of Wisconsin La Crosse,,La Crosse,WI,
University of Wisconsin Madison,University of Wisconsin Madison,Madison,WI,95272
University of Wisconsin Milwaukee,University of Wisconsin Milwaukee,Milwaukee,WI,95263
University of Wisconsin Oshkosh,,Oshkosh,WI,
University of Wisconsin Parkside,,Kenosha,WI,
University of Wisconsin Platteville,,Platteville,WI,
University of Wisconsin River Falls,,River Falls,WI,
University of Wisconsin Stevens Point,,Stevens Point,WI,
University of Wisconsin Stout,,Menomonie,WI,
University of Wisconsin Superior,,Madison,WI,
University of Wisconsin System,,Madison,WI,
University of Wisconsin Whitewater,,Whitewater,WI,
University of Wyoming,University of Wyoming,Laramie,WY,95264
University of the District of Columbia,,Washington,DC,
University of the Pacific,,San Francisco,CA,
University of the Virgin Islands,,St Thomas,VI,
Urban Institute,,Washington,DC,
Urbana University,,Urbana,OH,
Ursuline College,,Pepper Pike,OH,
Utah State University,Utah State University,Logan,UT,95266
Utah State University College of Eastern Utah,Utah State University,Price,UT,95266
Utah System of Higher Education,,Salt Lake City,UT,
Utah Valley University,,Orem,UT,
VA Ann Arbor Healthcare System,,Ann Arbor,MI,
VA Boston Healthcare System,,W Roxbury,MA,
VA Connecticut Healthcare System,,West Haven,CT,
VA Greater Los Angeles Healthcare System,,Los Angeles,CA,
VA Long Beach Healthcare System,,Long Beach,CA,
VA Nebraska-Western Iowa Health Care System,,Omaha,NE,
VA North Texas Health Care System,,Dallas,TX,
VA Palo Alto Health Care System,,Palo Alto,CA,
VA Pittsburgh Healthcare System,,Pittsburgh,PA,
VA Portland Health Care System,,Portland,OR,
VA San Diego Healthcare System,,San Diego,CA,
VA Tennessee Valley Healthcare System,,Nashville,TN,
Vaccine & Gene Therapy Institute of Florida,,Port St Lucie,FL,
Valdosta State University,,Valdosta,GA,
Valero Energy Corporation,,Sunray,TX,
Valparaiso University,,Valparaiso,IN,
Van Andel Institute,,Grand Rapids,MI,
Vanderbilt University,Vanderbilt University,Nashville,TN,95268
Vanderbilt University Peabody College,Vanderbilt University,Nashville,TN,95268
Vassar College,,Poughkeepsie,NY,
Verizon Communications,,Richardson,TX,
Versiti Blood Center of Wisconsin,Blood Center of Wisconsin,Milwaukee,WI,96044
Vertex Pharmaceuticals,,Cambridge,MA,
Vet Affairs Puget Sound Health Care System,,Seattle,WA,
Veterans Affairs Medical Center - Birmingham,,Birmingham,AL,
Veterans Affairs Medical Center - Denver,,Denver,CO,
Veterans Health Administration (VHA),,Tucson,AZ,
Veterans Medical Research Foundation,,San Diego,CA,
Villanova University,,Villanova,PA,
Virginia Commonwealth University,Virginia Commonwealth University,Richmond,VA,95270
Virginia Institute of Marine Science,,Gloucester Point,VA,
Virginia Mason Medical Center,,Seattle,WA,
Virginia Polytechnic Institute & State University,Virginia Tech,Blacksburg,VA,95271
Virginia State University,,Petersburg,VA,
Vitalant Research Institute,,San Francisco,CA,
Vitreous Retina Macula Consultants of New York,,New York,NY,
W.E. Upjohn Institute for Employment Research,,Kalamazoo,MI,
Wadsworth Center,,Albany,NY,
Wake Forest Baptist Medical Center,,Winston Salem,NC,
Wake Forest University,Wake Forest University,Winston Salem,NC,95273
Wake Forest University School of Medicine,Wake Forest University,Winston Salem,NC,95273
Wal-Mart Stores Inc,,Mountain View,CA,
Walden University,,Minneapolis,MN,
Walsh University,,N Canton,OH,
Walter Reed Army Institute of Research (WRAIR),,Rockville,MD,
Walter Reed National Military Medical Center,,Washington,DC,
Walther Cancer Institute,,Indianapolis,IN,
Washburn University,,Topeka,KS,
Washington State Community College,,Marietta,OH,
Washington State University,Washington State University,Pullman,WA,95274
Washington University (WUSTL),WUSTL,St Louis,MO,95275
Water Environment Federation,,Alexandria,VA,
Waters Corporation,,Milford,MA,
Wayne State College,,Wayne,NE,
Wayne State University,Wayne State University,Detroit,MI,95276
Weber State University,,Ogden,UT,
Webster University,,St Louis,MO,
Weill Cornell Medical College Qatar,,New York,NY,
WellStar Atlanta Medical Center,,Atlanta,GA,
Wellesley College,,Wellesley,MA,
Wells Fargo Company,,San Francisco,CA,
Wesleyan University,,Middletown,CT,
West Chester University of Pennsylvania,,W Chester,PA,
West Florida,,Tampa,FL,
West Florida Division,,Tampa,FL,
West Florida Hospital,,Tampa,FL,
West Los Angeles VA Medical Center,,Los Angeles,CA,
West Penn Hospital,,Pittsburgh,PA,
West Texas A&M University,Texas A&M University,Canyon,TX,95171
West Virginia State University,,Institute,WV,
West Virginia University,West Virginia University,Morgantown,WV,97012
Westat,,Rockville,MD,
Westchester Medical Center,,Valhalla,NY,
Western Carolina University,,Cullowhee,NC,
Western Connecticut State University,,Danbury,CT,
Western Illinois University,,Macomb,IL,
Western Kentucky University,Western Kentucky University,Bowling Green,KY,99019
Western Michigan University,Western Michigan University,Kalamazoo,MI,20000024
Western Nevada College,,CARSON CITY,NV,
Western New England University,,Springfield,MA,
Western Oregon University,,Monmouth,OR,
Western Psychiatric Institute & Clinic of UPMC,,Pittsburgh,PA,
Western University of Health Sciences,,Pomona,CA,
Western Washington University,,Bellingham,WA,
Westfield State University,,Westfield,MA,
Westinghouse Electric Corporation,,Pittsburgh,PA,
Westminster College Pennsylvania,,New Wilmington,PA,
Wheaton College,,Wheaton,IL,
Wheeling University,,Wheeling,WV,
Whirlpool,,Benton Harbor,MI,
Whitehead Institute,Whitehead Inst,Cambridge,MA,20100278
Whitman College,,Walla Walla,WA,
Whitworth University,,Spokane,WA,
WiCell Research Institute,,Madison,WI,
Wichita State University,Wichita State University,Wichita,KS,20160309
Widener University,,Chester,PA,
Wildlife Conservation Society,,Bronx,NY,
Wiley,,Hoboken,NJ,
Wilkes University,,Wilkes Barre,PA,
Willamette University,,Salem,OR,
William & Mary,William & Mary,Williamsburg,VA,2000006
William Beaumont Army Medical Center,,El Paso,TX,
William S Middleton Memorial Veterans Hospital,,Madison,WI,
William Sansum Diabetes Center,,Santa Barbara,CA,
William Woods University,,Fulton,MO,
Williams College,,Williamstown,MA,
Wilmington College - Ohio,,Wilmington,OH,
Windber Research Institute,,Windber,PA,
Winona State University,,Winona,MN,
Winthrop University Hospital,,Mineola,NY,
Wittenberg University,,Springfield,OH,
Women & Children's Hospital of Buffalo,,Buffalo,NY,
Women & Infants Hospital Rhode Island,,Providence,RI,
Wood Hudson Cancer Research Lab,,Newport,KY,
Woods Hole Oceanographic Institution,Woods Hole Oceanographic Institution,Woods Hole,MA,95280
Woods Hole Research Center,Woods Hole Oceanographic Institution,Woods Hole,MA,95280
Worcester Foundation for Biomedical Research,,Worcester,MA,
Worcester Polytechnic Institute,Worcester Polytechnic Institute,Worcester,MA,96043
Worcester State University,,Worcester,MA,
World Wildlife Fund,,Ashland,OR,
Worldwide Antimalarial Resistance Network (WWARN),,Baltimore,MD,
Wright State University Dayton,Wright State University,Dayton,OH,95281
Xavier University,,Cincinnati,OH,
Xavier University of Louisiana,,New Orleans,LA,
Xilinx,,Minneapolis,MN,
Yale University,Yale University,New Haven,CT,95282
Yeshiva University,,Bronx,NY,
York College NY (CUNY),CUNY,Jamaica,NY,95077
York College Pennsylvania,,York,PA,
Youngstown State University,,Youngstown,OH,
Zalicus Inc,,Cambridge,MA,
Zane State College,,Zanesville,OH,
Zoetis,,Kalamazoo,MI,
Zoological Society of San Diego,,Escondido,CA,
Zymogenet Inc.,,Seattle,WA,
